Frame,X,Y
77,374,576
84,377,587
91,415,605
98,411,552
105,442,585
112,424,554
119,450,549
126,458,527
133,446,538
140,431,549
147,425,551
154,415,553
161,397,555
168,394,558
175,396,565
182,393,569
189,388,569
196,371,568
203,339,567
209,324,568
216,315,574
223,299,582
230,271,593
237,264,601
244,257,600
251,232,585
258,227,607
265,231,636
272,211,642
279,191,654
286,193,645
293,162,683
"During 9.468 seconds, 32 wrist movements were captured every 0.2 seconds.",,
